artist,album,track_name,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,Clusters
Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,0.551,0.55,-5.339,0.0286,0.0,0.202,0.342,101.19,1
Travis Scott,Birds In The Trap Sing McKnight,sdp interlude,0.507,0.586,-8.15,0.0586,0.0544,0.118,0.588,108.164,1
Warren Zeiders,Ride the Lightning (717 Tapes),Ride the Lightning - 717 Tapes,0.576,0.474,-6.342,0.0331,8.74e-05,0.0944,0.4,77.834,1
Stephen Sanchez,Until I Found You,Until I Found You,0.539,0.508,-6.05,0.0288,0.0,0.174,0.227,101.358,1
Ed Sheeran,Eyes Closed,Eyes Closed,0.777,0.526,-6.221,0.0645,0.0,0.105,0.389,107.071,1
Libianca,People,People,0.573,0.422,-7.621,0.0678,1.31e-05,0.102,0.693,124.357,1
The Kid LAROI,Love Again,Love Again,0.662,0.398,-6.691,0.0275,0.0,0.111,0.468,107.001,1
The Weeknd,Starboy,Die For You,0.586,0.525,-7.163,0.0615,0.0,0.134,0.508,133.629,1
Miguel,All I Want Is You,Sure Thing,0.684,0.607,-8.127,0.1,0.000307,0.191,0.498,81.001,1
Ayra Starr,Rush,Rush,0.792,0.503,-8.044,0.0626,0.00057,0.0959,0.381,99.97,1
Sam Barber,Straight and Narrow,Straight and Narrow,0.507,0.277,-8.83,0.0342,2.3e-05,0.135,0.361,127.322,1
