track_name,artist
Last Night,Morgan Wallen
Miracle (with Ellie Goulding),Calvin Harris
Escapism.,RAYE
Creepin' (with The Weeknd & 21 Savage),Metro Boomin
Miss You,Oliver Tree
TRUSTFALL,P!nk
I Am Free,Tones And I
Heaven,Niall Horan
The Reason,Hoobastank
Somewhere Only We Know,Keane
Therapy,Budjerah
Red Ruby Da Sleeze,Nicki Minaj
Forget Me,Lewis Capaldi
On My Own,Ricki-Lee
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
Dancin (feat. Luvli) - Krono Remix,Aaron Smith
River,Miley Cyrus
Celestial,Ed Sheeran
