track_name,artist
Calm Down (with Selena Gomez),Rema
Ella Baila Sola,Eslabon Armado
Flowers,Miley Cyrus
Boy's a liar Pt. 2,PinkPantheress
El Gordo Trae El Mando,Chino Pacas
Drive,Incubus
Cornflake Girl,Tori Amos
What It Is (Solo Version),Doechii
Nonsense,Sabrina Carpenter
Di Que Si,Grupo Marca Registrada
TQG,KAROL G
Lottery (feat. LU KALA),Latto
Take on Me,a-ha
Qué Agonía,Yuridia
PRC,Peso Pluma
AMG,Natanael Cano
Cupid,FIFTY FIFTY
Yandel 150,Yandel
Dijeron Que No La Iba Lograr,Chino Pacas
El Azul,Junior H
Ch y la Pizza,Fuerza Regida
