Title,Artist
Calm Down,Rema
Ella Baila Sola,Eslabon Armado & Peso Pluma
"Don't Think Twice, It's All Right","Peter, Paul & Mary"
Players,Coi Leray
Escapism.,RAYE & 070 Shake
Creepin' (Remix) [feat. 21 Savage],"Metro Boomin, The Weeknd & Diddy"
Favorite Song,Toosii
Kill Bill,SZA
La Bebe (Remix),Yng Lvcas & Peso Pluma
Last Night,Morgan Wallen
Flowers,Miley Cyrus
Search & Rescue,Drake
Bloody Mary,Lady Gaga
The Reason,Hoobastank
Sure Thing,Miguel
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
El Gordo Trae El Mando,Chino Pacas
Eyes Closed,Ed Sheeran
Cool Cat,Queen
Red Ruby Da Sleeze,Nicki Minaj
Somewhere Only We Know,Keane
Spin Bout U,Drake & 21 Savage
Bebe Dame,Fuerza Regida & Grupo Frontera
Drive,Incubus
Cornflake Girl,Tori Amos
This Is,Ella Mai
sdp interlude,Travis Scott
What It Is (Block Boy) [feat. Kodak Black],Doechii
Nonsense,Sabrina Carpenter
Di Que Sí,Grupo Marca Registrada & Grupo Frontera
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
TQG,KAROL G & Shakira
Lottery (feat. LU KALA),Latto
Take On Me,a-ha
Qué Agonía,Yuridia & Ángela Aguilar
PRC,Peso Pluma & Natanael Cano
Por las Noches,Peso Pluma
AMG,"Natanael Cano, Peso Pluma & Gabito Ballesteros"
Frágil,Yahritza Y Su Esencia & Grupo Frontera
Die For You,The Weeknd
Cupid,FIFTY FIFTY
Mayonaise,The Smashing Pumpkins
Yandel 150,Yandel & Feid
Dijeron Que No La Iba Lograr,Chino Pacas & Fuerza Regida
Cupid (Twin Ver.),FIFTY FIFTY
El Azul,Junior H & Peso Pluma
Rich Flex,Drake & 21 Savage
ceilings,Lizzy McAlpine
Forever,Lil Baby & Fridayy
Ch y la Pizza,Fuerza Regida & Natanael Cano
