artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beiho...,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0,0.202,0.342,101.19,176440,3
Morgan Wallen,3 Songs At A Time Sampler,Last Night,59uQI0PADDKeE6UZDTJEe8,0.517,0.675,6,-5.382,1,0.0357,0,0.151,0.518,203.853,163855,4
Calvin Harris,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),5eTaQYBE1yrActixMAeLcZ,0.636,0.869,9,-5.289,1,0.0412,0.0446,0.0808,0.306,143.011,186496,4
RAYE,Escapism. / The Thrill Is Gone.,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ,0.538,0.742,2,-5.355,1,0.114,0.000047,0.0934,0.25,96.107,272373,4
Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0,0.0822,0.172,97.95,221520,4
Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,0.000008,0.0504,0.624,105.001,139560,4
Travis Scott,Birds In The Trap Sing McKnight,sdp interlude,4gh0ZnHzaTMT1sDga7Ek0N,0.507,0.586,0,-8.15,0,0.0586,0.0544,0.118,0.588,108.164,191623,4
Warren Zeiders,Ride the Lightning (717 Tapes),Ride the Lightning - 717 Tapes,1JTQG8J8jN8tjDTyUWnaRe,0.576,0.474,1,-6.342,1,0.0331,0.000087,0.0944,0.4,77.834,186459,4
Oliver Tree,Miss You,Miss You,73vIOb4Q7YN6HeJTbscRx5,0.587,0.742,6,-6.64,0,0.0529,0.00107,0.146,0.199,145.007,206000,4
Stephen Sanchez,Until I Found You,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0,0.174,0.227,101.358,177720,3
Miley Cyrus,Flowers,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,0.000005,0.0322,0.646,117.999,200455,4
P!nk,TRUSTFALL,TRUSTFALL,4FWbsd91QSvgr1dSWwW51e,0.636,0.888,8,-3.889,1,0.0945,0.000216,0.147,0.25,122.032,237200,4
Ed Sheeran,Eyes Closed,Eyes Closed,07bsRv0pcpbG4zJeLsUs1p,0.777,0.526,2,-6.221,1,0.0645,0,0.105,0.389,107.071,194849,4
Tiësto,10:35,10:35,6BePGk3eCan4FqaW2X8Qy3,0.696,0.793,8,-5.733,1,0.097,0.000004,0.18,0.698,120.003,172253,4
Libianca,People,People,26b3oVLrRUaaybJulow9kz,0.573,0.422,10,-7.621,0,0.0678,0.000013,0.102,0.693,124.357,184791,5
Tones And I,I Am Free,I Am Free,7DEyedwkIyFO5lypt3fG8T,0.59,0.713,9,-4.172,1,0.0475,0,0.106,0.46,125.285,230855,4
Peking Duk,Wasted,Wasted,6S5lBW22Re1UPKXjX7obLC,0.693,0.76,11,-5.433,1,0.0353,0.000977,0.121,0.751,115,182370,4
George Ezra,Gold Rush Kid,Green Green Grass,4N5s8lPTsjI9EGP7K4SXzB,0.685,0.738,8,-4.413,1,0.0595,0,0.128,0.8,112.972,167614,4
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.000669,0.114,0.802,106.999,239318,4
Niall Horan,Heaven,Heaven,1yHVHoz6Ny29gbbWJYVnFt,0.571,0.761,5,-3.485,1,0.0261,0,0.331,0.681,91.991,186043,4
Santana,Supernatural (Remastered),Maria Maria (feat. The Product G&B),3XKIUb7HzIF1Vu9usunMzc,0.777,0.601,2,-5.931,1,0.126,0.00201,0.0348,0.68,97.911,261973,4
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,77loZpT5Y5PRP1S451P9Yz,0.472,0.671,4,-4.649,1,0.029,0,0.159,0.0681,82.952,232800,4
NLE Choppa,SLUT ME OUT,SLUT ME OUT,5BmB3OaQyYXCqRyN8iR2Yi,0.938,0.606,6,-6.396,0,0.419,0,0.528,0.706,121.108,123673,4
Run–D.M.C.,The Greatest Hits,It's Like That,0CtkjgZpkgnW7U6WmHsakD,0.852,0.874,7,-11.208,1,0.0427,0.45,0.133,0.666,129.029,250627,4
The Kid LAROI,Love Again,Love Again,4sx6NRwL6Ol3V6m9exwGlQ,0.662,0.398,11,-6.691,0,0.0275,0,0.111,0.468,107.001,145850,4
Incubus,Make Yourself,Drive,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,4,-7.34,0,0.036,0.0121,0.119,0.666,90.565,232453,4
FIFTY FIFTY,The Beginning: Cupid,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.000004,0.347,0.726,120.018,174253,4
Keane,Hopes And Fears,Somewhere Only We Know,1SKPmfSYaPsETbRHaiA18G,0.448,0.665,9,-4.203,1,0.026,0.000025,0.0828,0.304,172.004,237147,4
Budjerah,Therapy,Therapy,7MeniYdHjzvKEn8BWzFNI1,0.61,0.611,0,-4.652,0,0.0297,0,0.174,0.417,104.943,192103,3
PinkPantheress,Boy's a liar Pt. 2,Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.000128,0.248,0.857,132.962,131013,4
Post Malone,Twelve Carat Toothache,Wrapped Around Your Finger,6Kfoo60npYPdvNxMPMiDpX,0.744,0.628,2,-5.435,1,0.0287,0,0.317,0.539,119.966,193565,4
MK,Rhyme Dust,Rhyme Dust,59QDyqLww2pxyg9ijOPO7f,0.925,0.561,3,-8.675,1,0.176,0.0271,0.152,0.721,128.034,181365,4
The Weeknd,Starboy,Die For You,2LBqCSwhJGcFQeTHMVGwy3,0.586,0.525,1,-7.163,0,0.0615,0,0.134,0.508,133.629,260253,4
Fred again..,Baby again..,Baby again..,4zlbKky2yA657Sk5rekZoR,0.847,0.724,2,-7.668,1,0.047,0.00339,0.0731,0.326,126.983,319964,4
FIFTY FIFTY,The Beginning: Cupid,Cupid,5mg3VB3Qh7jcR5kAAC4DSV,0.774,0.66,2,-8.2,1,0.0328,0,0.4,0.961,120.023,174253,4
Tori Amos,Under the Pink,Cornflake Girl,1300POeOaj8qho30FRHjgf,0.631,0.638,7,-8.958,1,0.0274,0.000516,0.216,0.812,133.739,305493,4
ArrDee,Home For My Heart,Home For My Heart,1PGc9smXkDk2I7v8zsI0GB,0.736,0.575,10,-8.097,1,0.0951,0,0.106,0.767,99.024,158598,4
Miguel,All I Want Is You,Sure Thing,0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11,-8.127,0,0.1,0.000307,0.191,0.498,81.001,195373,4
ONEFOUR,COMMA'S,COMMA'S,74yRaIwxJyrrb6gl2KyF5H,0.775,0.705,2,-7.078,1,0.122,0,0.0655,0.627,162.059,198519,4
Nicki Minaj,Red Ruby Da Sleeze,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2,0.696,0.733,1,-6.181,1,0.256,0,0.111,0.292,98.355,214445,4
Lewis Capaldi,Forget Me,Forget Me,5uSFGgIfHMT3osrAd9n9ym,0.669,0.742,1,-3.518,0,0.0441,0,0.355,0.716,101.982,203472,4
Ricki-Lee,On My Own,On My Own,581RQr3HXrnCbVqfwmRnEj,0.539,0.821,8,-2.831,0,0.041,0,0.368,0.149,94.923,184751,4
Ayra Starr,Rush,Rush,1rrqJ9QkOBYJlsZgqqwxgB,0.792,0.503,1,-8.044,1,0.0626,0.00057,0.0959,0.381,99.97,185093,4
Doechii,What It Is (Versions),What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,0.74,0.758,1,-5.851,0,0.0921,0.000001,0.0967,0.757,171.925,189825,4
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),38T0tPVZHcPZyhtOcCP7pF,0.637,0.715,2,-4.971,0,0.0455,0,0.0892,0.308,141.872,210576,4
Sam Barber,Straight and Narrow,Straight and Narrow,3ZJd3PCBk8ibpO8DVlkCsF,0.507,0.277,10,-8.83,1,0.0342,0.000023,0.135,0.361,127.322,199875,4
"Peter, Paul and Mary",In the Wind,"Don't Think Twice, It's All Right",7IsXXgpowAB48crGjV1oGb,0.437,0.104,3,-22.533,1,0.0307,0.00124,0.11,0.544,101.718,196467,4
Aaron Smith,Dancin (feat. Luvli) [Krono Remix],Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,0.72,0.741,10,-6.529,0,0.0287,0.000014,0.289,0.357,119.896,198053,4
Miley Cyrus,Endless Summer Vacation,River,04CqLjewJiSAqM210vZAmT,0.613,0.803,9,-5.171,1,0.0367,0.000333,0.189,0.461,127.989,162973,4
Ed Sheeran,Celestial,Celestial,4zrKN5Sv8JS5mqnbVcsul7,0.574,0.852,2,-1.248,1,0.0397,0,,,,,
